Gene	probe_description	biotin.WT.01@1	biotin.bio101@4	biotin.WT.B1@2	biotin.bio1B1@3	biotin.WT.02@1	biotin.bio102@4	biotin.WT.B2@2	biotin.bio1B2@3
11986_at	A.thaliana mRNA for CaLB protein.	6.359179564	6.004074845	6.325338309	6.255888105	6.554727494	6.144556531	6.098169458	6.20162366
11987_at	putative protein	7.833548917	6.666033671	7.738627603	7.691321007	7.461710881	7.300382578	7.35303263	7.298990368
11988_at	"Genomic sequence for Arabidopsis thaliana BAC F20N2, complete sequence."	6.14559922	6.128748543	6.258156856	6.353912072	6.097703374	6.183593229	6.184723006	6.276867181
11989_at	"Genomic sequence for Arabidopsis thaliana BAC F20N2, complete sequence."	5.675039358	5.078694662	5.444966578	5.380755517	5.258524437	5.328961709	5.460898407	5.203674057
11990_at	unknown protein	5.382078074	5.241410816	5.20963802	5.357740081	5.337012514	5.276888922	5.434531273	5.362001748
11991_g_at	unknown protein	5.389808814	5.087797146	5.403932982	5.592900616	5.571362461	5.249381531	5.596683206	5.140584823
11992_at	Unknown protein; Location of EST gb|H36355	6.755111875	6.394078308	7.128470459	7.045838293	7.057565759	6.692149542	6.774524797	6.368086614
11993_at	"Unknown protein; Location of EST 248L9T7, gb|AA713296"	4.413196042	4.480436968	4.148432572	4.43704122	4.296882222	4.825075105	4.97480002	4.667086227
11994_at	unknown protein	6.736437011	6.458639233	6.599300347	6.687682744	6.56994836	6.328931768	6.49609253	6.70574796
11995_at	unknown protein	4.244404275	4.184840219	4.341047172	4.413774166	4.355089851	4.142470025	4.223538718	4.541221589
11996_at	unknown protein	6.989060119	7.259177418	6.757164061	6.856551037	7.233513957	7.295572523	6.605253854	7.122018105
11997_at	unknown protein	6.2851215	5.355282265	5.062706423	4.831092976	5.318457436	5.021711352	4.902261975	5.178130339
11998_at	Similar to gb|D14414 Indole-3-acetic acid induced protein from Vigna radiata.  ESTs gb|AA712892 and gb|Z17613 come from this gene.	6.459206769	7.051877779	6.467475498	6.523621251	7.829028317	7.357992547	7.151178244	7.124357434
11999_at	unknown protein	4.205611693	4.255677279	4.207457995	4.058657514	4.322971123	4.08168848	4.415435294	4.345679671
12000_at	Similar to gi|3844599 F31D5.2 gene product from Caenorhabditis elegans cosmid gb|U28941 and contains PF|00097 Zinc (Ring) finger C3HC4 domain.  ESTs gb|F19963 and gb|T42582 come from this gene.	5.298790606	4.785716957	5.221169617	4.992875169	4.952157608	4.791313563	4.657196146	4.995271932
12001_at	ESTs gb|F20110 and gb|F20109 come from this gene.	6.071089599	5.405284202	6.189205078	6.129856646	6.028633403	5.862612394	5.636604479	5.890845082
12002_at	hypothetical protein	5.703384521	6.137236082	6.103249369	6.394587714	6.000351918	6.201104309	5.788881364	6.272556363
12003_at	Arabidopsis thaliana mRNA for AGP6 protein.	6.1756808	6.324876145	6.287797548	6.302635066	6.364235847	6.370259912	6.251455694	6.492320391
12004_at	putative protein	6.072547649	7.004499381	6.957628873	6.87270901	6.622130889	6.24042581	6.882821659	7.030372808
12005_at	putative protein	4.842600501	5.04535781	4.673516915	4.783893486	4.736783885	4.890222142	4.667855563	4.858770264
12006_at	hypothetical protein	6.486064449	6.133265484	6.486080347	6.395204331	6.310500541	6.146006793	6.249648815	6.355716839
